parent_event_id,event_date,event_type,root_cause,severity,primary_hub_id,impacted_blocks,forecast_start_time,actual_start_time,start_time,end_time,plant_level_max_loss_mw,detection_confidence_pct,operator_summary,recommended_action
EVH_00011,2017-01-05,cloud_ramp_up_after_cloud_clearance,weather,WATCH,PAV_HUB_3,PAV_S3_B02|PAV_S3_B03|PAV_S3_B04,2017-01-05T15:00:00,2017-01-05T15:35:00,2017-01-05T15:20:00,2017-01-05T17:10:00,46.5,86,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.
EVH_00012,2017-03-09,cloud_ramp_down,weather,WATCH,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03,2017-03-09T14:35:00,2017-03-09T15:05:00,2017-03-09T14:55:00,2017-03-09T16:35:00,51.04,86,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.
EVH_00013,2017-05-14,grid_curtailment_plateau,grid_constraint,ALERT,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04,2017-05-14T12:30:00,2017-05-14T12:45:00,2017-05-14T12:45:00,2017-05-14T16:45:00,100.03,93,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.
EVH_00014,2017-08-18,scada_stale_signal,data_quality,ALERT,PAV_HUB_2,PAV_S2_B01,2017-08-18T14:55:00,2017-08-18T15:00:00,2017-08-18T15:00:00,2017-08-18T16:25:00,0.0,78,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.
EVH_00015,2017-10-22,inverter_group_derating,equipment,WATCH,PAV_HUB_4,PAV_S4_B05,2017-10-22T10:25:00,2017-10-22T10:30:00,2017-10-22T10:30:00,2017-10-22T14:30:00,10.65,81,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.
EVH_00016,2018-01-05,cloud_ramp_up_after_cloud_clearance,weather,WATCH,PAV_HUB_3,PAV_S3_B02|PAV_S3_B03|PAV_S3_B04,2018-01-05T15:00:00,2018-01-05T15:35:00,2018-01-05T15:20:00,2018-01-05T17:10:00,53.37,86,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.
EVH_00017,2018-03-09,cloud_ramp_down,weather,WATCH,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03,2018-03-09T14:35:00,2018-03-09T15:05:00,2018-03-09T14:55:00,2018-03-09T16:35:00,44.27,86,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.
EVH_00018,2018-05-14,grid_curtailment_plateau,grid_constraint,ALERT,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04,2018-05-14T12:30:00,2018-05-14T12:45:00,2018-05-14T12:45:00,2018-05-14T16:45:00,100.98,93,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.
EVH_00019,2018-08-18,scada_stale_signal,data_quality,ALERT,PAV_HUB_2,PAV_S2_B01,2018-08-18T14:55:00,2018-08-18T15:00:00,2018-08-18T15:00:00,2018-08-18T16:25:00,0.0,78,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.
EVH_00020,2018-10-22,inverter_group_derating,equipment,WATCH,PAV_HUB_4,PAV_S4_B05,2018-10-22T10:25:00,2018-10-22T10:30:00,2018-10-22T10:30:00,2018-10-22T14:30:00,11.1,81,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.
EVH_00021,2019-01-05,cloud_ramp_up_after_cloud_clearance,weather,WATCH,PAV_HUB_3,PAV_S3_B02|PAV_S3_B03|PAV_S3_B04,2019-01-05T15:00:00,2019-01-05T15:35:00,2019-01-05T15:20:00,2019-01-05T17:10:00,47.99,86,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.
EVH_00022,2019-03-09,cloud_ramp_down,weather,WATCH,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03,2019-03-09T14:35:00,2019-03-09T15:05:00,2019-03-09T14:55:00,2019-03-09T16:35:00,55.5,86,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.
EVH_00023,2019-05-14,grid_curtailment_plateau,grid_constraint,ALERT,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04,2019-05-14T12:30:00,2019-05-14T12:45:00,2019-05-14T12:45:00,2019-05-14T16:45:00,94.11,93,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.
EVH_00024,2019-08-18,scada_stale_signal,data_quality,ALERT,PAV_HUB_2,PAV_S2_B01,2019-08-18T14:55:00,2019-08-18T15:00:00,2019-08-18T15:00:00,2019-08-18T16:25:00,0.0,78,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.
EVH_00025,2019-10-22,inverter_group_derating,equipment,WATCH,PAV_HUB_4,PAV_S4_B05,2019-10-22T10:25:00,2019-10-22T10:30:00,2019-10-22T10:30:00,2019-10-22T14:30:00,10.42,81,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.
EVH_00026,2020-01-05,cloud_ramp_up_after_cloud_clearance,weather,WATCH,PAV_HUB_3,PAV_S3_B02|PAV_S3_B03|PAV_S3_B04,2020-01-05T15:00:00,2020-01-05T15:35:00,2020-01-05T15:20:00,2020-01-05T17:10:00,44.16,86,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.
EVH_00027,2020-03-09,cloud_ramp_down,weather,WATCH,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03,2020-03-09T14:35:00,2020-03-09T15:05:00,2020-03-09T14:55:00,2020-03-09T16:35:00,54.52,86,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.
EVH_00028,2020-05-14,grid_curtailment_plateau,grid_constraint,ALERT,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04,2020-05-14T12:30:00,2020-05-14T12:45:00,2020-05-14T12:45:00,2020-05-14T16:45:00,88.12,93,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.
EVH_00029,2020-08-18,scada_stale_signal,data_quality,ALERT,PAV_HUB_2,PAV_S2_B01,2020-08-18T14:55:00,2020-08-18T15:00:00,2020-08-18T15:00:00,2020-08-18T16:25:00,0.0,78,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.
EVH_00030,2020-10-22,inverter_group_derating,equipment,WATCH,PAV_HUB_4,PAV_S4_B05,2020-10-22T10:25:00,2020-10-22T10:30:00,2020-10-22T10:30:00,2020-10-22T14:30:00,11.6,81,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.
EVH_00031,2021-01-05,cloud_ramp_up_after_cloud_clearance,weather,WATCH,PAV_HUB_3,PAV_S3_B02|PAV_S3_B03|PAV_S3_B04,2021-01-05T15:00:00,2021-01-05T15:35:00,2021-01-05T15:20:00,2021-01-05T17:10:00,48.03,86,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.
EVH_00032,2021-03-09,cloud_ramp_down,weather,WATCH,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03,2021-03-09T14:35:00,2021-03-09T15:05:00,2021-03-09T14:55:00,2021-03-09T16:35:00,55.76,86,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.
EVH_00033,2021-05-14,grid_curtailment_plateau,grid_constraint,ALERT,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04,2021-05-14T12:30:00,2021-05-14T12:45:00,2021-05-14T12:45:00,2021-05-14T16:45:00,106.32,93,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.
EVH_00034,2021-08-18,scada_stale_signal,data_quality,ALERT,PAV_HUB_2,PAV_S2_B01,2021-08-18T14:55:00,2021-08-18T15:00:00,2021-08-18T15:00:00,2021-08-18T16:25:00,0.0,78,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.
EVH_00035,2021-10-22,inverter_group_derating,equipment,WATCH,PAV_HUB_4,PAV_S4_B05,2021-10-22T10:25:00,2021-10-22T10:30:00,2021-10-22T10:30:00,2021-10-22T14:30:00,12.8,81,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.
EVH_00036,2022-01-05,cloud_ramp_up_after_cloud_clearance,weather,WATCH,PAV_HUB_3,PAV_S3_B02|PAV_S3_B03|PAV_S3_B04,2022-01-05T15:00:00,2022-01-05T15:35:00,2022-01-05T15:20:00,2022-01-05T17:10:00,45.18,86,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.
EVH_00037,2022-03-09,cloud_ramp_down,weather,WATCH,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03,2022-03-09T14:35:00,2022-03-09T15:05:00,2022-03-09T14:55:00,2022-03-09T16:35:00,59.22,86,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.
EVH_00038,2022-05-14,grid_curtailment_plateau,grid_constraint,ALERT,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04,2022-05-14T12:30:00,2022-05-14T12:45:00,2022-05-14T12:45:00,2022-05-14T16:45:00,101.93,93,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.
EVH_00039,2022-08-18,scada_stale_signal,data_quality,ALERT,PAV_HUB_2,PAV_S2_B01,2022-08-18T14:55:00,2022-08-18T15:00:00,2022-08-18T15:00:00,2022-08-18T16:25:00,0.0,78,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.
EVH_00040,2022-10-22,inverter_group_derating,equipment,WATCH,PAV_HUB_4,PAV_S4_B05,2022-10-22T10:25:00,2022-10-22T10:30:00,2022-10-22T10:30:00,2022-10-22T14:30:00,11.1,81,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.
EVH_00041,2023-01-05,cloud_ramp_up_after_cloud_clearance,weather,WATCH,PAV_HUB_3,PAV_S3_B02|PAV_S3_B03|PAV_S3_B04,2023-01-05T15:00:00,2023-01-05T15:35:00,2023-01-05T15:20:00,2023-01-05T17:10:00,48.47,86,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.
EVH_00042,2023-03-09,cloud_ramp_down,weather,WATCH,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03,2023-03-09T14:35:00,2023-03-09T15:05:00,2023-03-09T14:55:00,2023-03-09T16:35:00,48.04,86,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.
EVH_00043,2023-05-14,grid_curtailment_plateau,grid_constraint,ALERT,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04,2023-05-14T12:30:00,2023-05-14T12:45:00,2023-05-14T12:45:00,2023-05-14T16:45:00,98.46,93,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.
EVH_00044,2023-08-18,scada_stale_signal,data_quality,ALERT,PAV_HUB_2,PAV_S2_B01,2023-08-18T14:55:00,2023-08-18T15:00:00,2023-08-18T15:00:00,2023-08-18T16:25:00,0.0,78,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.
EVH_00045,2023-10-22,inverter_group_derating,equipment,WATCH,PAV_HUB_4,PAV_S4_B05,2023-10-22T10:25:00,2023-10-22T10:30:00,2023-10-22T10:30:00,2023-10-22T14:30:00,11.45,81,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.
EVH_00046,2024-01-05,cloud_ramp_up_after_cloud_clearance,weather,WATCH,PAV_HUB_3,PAV_S3_B02|PAV_S3_B03|PAV_S3_B04,2024-01-05T15:00:00,2024-01-05T15:35:00,2024-01-05T15:20:00,2024-01-05T17:10:00,43.12,86,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.
EVH_00047,2024-03-09,cloud_ramp_down,weather,WATCH,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03,2024-03-09T14:35:00,2024-03-09T15:05:00,2024-03-09T14:55:00,2024-03-09T16:35:00,47.71,86,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.
EVH_00048,2024-05-14,grid_curtailment_plateau,grid_constraint,ALERT,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04,2024-05-14T12:30:00,2024-05-14T12:45:00,2024-05-14T12:45:00,2024-05-14T16:45:00,93.64,93,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.
EVH_00049,2024-08-18,scada_stale_signal,data_quality,ALERT,PAV_HUB_2,PAV_S2_B01,2024-08-18T14:55:00,2024-08-18T15:00:00,2024-08-18T15:00:00,2024-08-18T16:25:00,0.0,78,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.
EVH_00050,2024-10-22,inverter_group_derating,equipment,WATCH,PAV_HUB_4,PAV_S4_B05,2024-10-22T10:25:00,2024-10-22T10:30:00,2024-10-22T10:30:00,2024-10-22T14:30:00,9.99,81,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.
EVH_00051,2025-01-05,cloud_ramp_up_after_cloud_clearance,weather,WATCH,PAV_HUB_3,PAV_S3_B02|PAV_S3_B03|PAV_S3_B04,2025-01-05T15:00:00,2025-01-05T15:35:00,2025-01-05T15:20:00,2025-01-05T17:10:00,52.08,86,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.
EVH_00052,2025-03-09,cloud_ramp_down,weather,WATCH,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03,2025-03-09T14:35:00,2025-03-09T15:05:00,2025-03-09T14:55:00,2025-03-09T16:35:00,49.13,86,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.
EVH_00053,2025-05-14,grid_curtailment_plateau,grid_constraint,ALERT,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04,2025-05-14T12:30:00,2025-05-14T12:45:00,2025-05-14T12:45:00,2025-05-14T16:45:00,92.44,93,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.
EVH_00054,2025-08-18,scada_stale_signal,data_quality,ALERT,PAV_HUB_2,PAV_S2_B01,2025-08-18T14:55:00,2025-08-18T15:00:00,2025-08-18T15:00:00,2025-08-18T16:25:00,0.0,78,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.
EVH_00055,2025-10-22,inverter_group_derating,equipment,WATCH,PAV_HUB_4,PAV_S4_B05,2025-10-22T10:25:00,2025-10-22T10:30:00,2025-10-22T10:30:00,2025-10-22T14:30:00,11.74,81,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.
EVH_00056,2025-01-18,cloud_ramp_up_after_cloud_clearance,weather,WATCH,PAV_HUB_3,PAV_S3_B02|PAV_S3_B03|PAV_S3_B04,2025-01-18T15:00:00,2025-01-18T15:35:00,2025-01-18T15:20:00,2025-01-18T17:10:00,45.94,86,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.
EVH_00057,2025-02-07,grid_curtailment_plateau,grid_constraint,ALERT,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04,2025-02-07T12:30:00,2025-02-07T12:45:00,2025-02-07T12:45:00,2025-02-07T16:45:00,98.85,93,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.
EVH_00058,2025-06-26,cloud_ramp_down,weather,WATCH,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03,2025-06-26T14:35:00,2025-06-26T15:05:00,2025-06-26T14:55:00,2025-06-26T16:35:00,54.92,86,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.
EVH_00059,2025-09-11,inverter_group_derating,equipment,WATCH,PAV_HUB_4,PAV_S4_B05,2025-09-11T10:25:00,2025-09-11T10:30:00,2025-09-11T10:30:00,2025-09-11T14:30:00,13.3,81,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.
