scenario_id,year,plant_id,unit_scope,pattern_id,asset_type,event_type,root_cause,forecast_start_time,actual_start_time,start_time,end_time,pattern_shape,presenter_story
SCN_00028_EQUIPMENT_DERATING,2018,WND_GADAG,WND_GADAG_F3,EQUIPMENT_DERATING,all,equipment_derating,equipment,2018-09-22T11:25:00,2018-09-22T11:30:00,2018-09-22T11:30:00,2018-09-22T15:20:00,availability drop with slower recovery,"Resource normal, availability lower, output falls."
SCN_00029_SOLAR_SIGMOID_RAMP_UP_4PM,2019,SOL_PAVAGADA,PAV_S3_B01|PAV_S3_B02|PAV_S3_B03|PAV_S3_B04|PAV_S3_B05,SOLAR_SIGMOID_RAMP_UP_4PM,solar,cloud_ramp_up_after_cloud_clearance,weather,2019-01-05T15:00:00,2019-01-05T15:35:00,2019-01-05T15:20:00,2019-01-05T17:10:00,S-curve / sigmoid recovery,Forecast P50 bends upward before actual. Actual follows with phase lag. P10-P90 band widens during event.
SCN_00030_SOLAR_SIGMOID_RAMP_DOWN,2019,SOL_PAVAGADA,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04|PAV_S6_B05,SOLAR_SIGMOID_RAMP_DOWN,solar,cloud_ramp_down,weather,2019-03-09T14:40:00,2019-03-09T15:05:00,2019-03-09T14:55:00,2019-03-09T16:40:00,S-curve / sigmoid drop,Forecast drops before actual; cloud obstruction rises first.
SCN_00031_GRID_CURTAILMENT_PLATEAU,2019,SOL_PAVAGADA,ALL,GRID_CURTAILMENT_PLATEAU,all,grid_curtailment_plateau,grid_constraint,2019-05-14T12:30:00,2019-05-14T12:45:00,2019-05-14T12:45:00,2019-05-14T16:45:00,actual export clips flat at local limit while possible power remains higher,"Plot possible power, actual export and local limit together."
SCN_00032_SCADA_STALE_SIGNAL,2019,SOL_PAVAGADA,PAV_S2_B01|PAV_S2_B02,SCADA_STALE_SIGNAL,all,scada_stale_signal,data_quality,2019-08-18T14:55:00,2019-08-18T15:00:00,2019-08-18T15:00:00,2019-08-18T16:25:00,reported actual tag holds constant while physical signal moves,Actual line freezes; quality badge turns STALE; confidence drops.
SCN_00033_WIND_SIGMOID_RAMP_DOWN,2019,WND_GADAG,WND_GADAG_F2,WIND_SIGMOID_RAMP_DOWN,wind,wind_ramp_down,weather,2019-02-07T14:40:00,2019-02-07T15:05:00,2019-02-07T14:55:00,2019-02-07T16:40:00,wind-speed sigmoid decline through nonlinear turbine power curve,"Wind-speed line changes first, power follows through power curve."
SCN_00034_WIND_SIGMOID_RAMP_UP_4PM,2019,WND_GADAG,WND_GADAG_F1,WIND_SIGMOID_RAMP_UP_4PM,wind,wind_ramp_up,weather,2019-06-16T15:00:00,2019-06-16T15:35:00,2019-06-16T15:20:00,2019-06-16T17:10:00,wind-speed sigmoid increase through power curve,Forecast anticipates rise; actual follows. Band widens around the event.
SCN_00035_EQUIPMENT_DERATING,2019,WND_GADAG,WND_GADAG_F3,EQUIPMENT_DERATING,all,equipment_derating,equipment,2019-09-22T11:25:00,2019-09-22T11:30:00,2019-09-22T11:30:00,2019-09-22T15:20:00,availability drop with slower recovery,"Resource normal, availability lower, output falls."
SCN_00036_SOLAR_SIGMOID_RAMP_UP_4PM,2020,SOL_PAVAGADA,PAV_S3_B01|PAV_S3_B02|PAV_S3_B03|PAV_S3_B04|PAV_S3_B05,SOLAR_SIGMOID_RAMP_UP_4PM,solar,cloud_ramp_up_after_cloud_clearance,weather,2020-01-05T15:00:00,2020-01-05T15:35:00,2020-01-05T15:20:00,2020-01-05T17:10:00,S-curve / sigmoid recovery,Forecast P50 bends upward before actual. Actual follows with phase lag. P10-P90 band widens during event.
SCN_00037_SOLAR_SIGMOID_RAMP_DOWN,2020,SOL_PAVAGADA,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04|PAV_S6_B05,SOLAR_SIGMOID_RAMP_DOWN,solar,cloud_ramp_down,weather,2020-03-09T14:40:00,2020-03-09T15:05:00,2020-03-09T14:55:00,2020-03-09T16:40:00,S-curve / sigmoid drop,Forecast drops before actual; cloud obstruction rises first.
SCN_00038_GRID_CURTAILMENT_PLATEAU,2020,SOL_PAVAGADA,ALL,GRID_CURTAILMENT_PLATEAU,all,grid_curtailment_plateau,grid_constraint,2020-05-14T12:30:00,2020-05-14T12:45:00,2020-05-14T12:45:00,2020-05-14T16:45:00,actual export clips flat at local limit while possible power remains higher,"Plot possible power, actual export and local limit together."
SCN_00039_SCADA_STALE_SIGNAL,2020,SOL_PAVAGADA,PAV_S2_B01|PAV_S2_B02,SCADA_STALE_SIGNAL,all,scada_stale_signal,data_quality,2020-08-18T14:55:00,2020-08-18T15:00:00,2020-08-18T15:00:00,2020-08-18T16:25:00,reported actual tag holds constant while physical signal moves,Actual line freezes; quality badge turns STALE; confidence drops.
SCN_00040_WIND_SIGMOID_RAMP_DOWN,2020,WND_GADAG,WND_GADAG_F2,WIND_SIGMOID_RAMP_DOWN,wind,wind_ramp_down,weather,2020-02-07T14:40:00,2020-02-07T15:05:00,2020-02-07T14:55:00,2020-02-07T16:40:00,wind-speed sigmoid decline through nonlinear turbine power curve,"Wind-speed line changes first, power follows through power curve."
SCN_00041_WIND_SIGMOID_RAMP_UP_4PM,2020,WND_GADAG,WND_GADAG_F1,WIND_SIGMOID_RAMP_UP_4PM,wind,wind_ramp_up,weather,2020-06-16T15:00:00,2020-06-16T15:35:00,2020-06-16T15:20:00,2020-06-16T17:10:00,wind-speed sigmoid increase through power curve,Forecast anticipates rise; actual follows. Band widens around the event.
SCN_00042_EQUIPMENT_DERATING,2020,WND_GADAG,WND_GADAG_F3,EQUIPMENT_DERATING,all,equipment_derating,equipment,2020-09-22T11:25:00,2020-09-22T11:30:00,2020-09-22T11:30:00,2020-09-22T15:20:00,availability drop with slower recovery,"Resource normal, availability lower, output falls."
SCN_00043_SOLAR_SIGMOID_RAMP_UP_4PM,2021,SOL_PAVAGADA,PAV_S3_B01|PAV_S3_B02|PAV_S3_B03|PAV_S3_B04|PAV_S3_B05,SOLAR_SIGMOID_RAMP_UP_4PM,solar,cloud_ramp_up_after_cloud_clearance,weather,2021-01-05T15:00:00,2021-01-05T15:35:00,2021-01-05T15:20:00,2021-01-05T17:10:00,S-curve / sigmoid recovery,Forecast P50 bends upward before actual. Actual follows with phase lag. P10-P90 band widens during event.
SCN_00044_SOLAR_SIGMOID_RAMP_DOWN,2021,SOL_PAVAGADA,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04|PAV_S6_B05,SOLAR_SIGMOID_RAMP_DOWN,solar,cloud_ramp_down,weather,2021-03-09T14:40:00,2021-03-09T15:05:00,2021-03-09T14:55:00,2021-03-09T16:40:00,S-curve / sigmoid drop,Forecast drops before actual; cloud obstruction rises first.
SCN_00045_GRID_CURTAILMENT_PLATEAU,2021,SOL_PAVAGADA,ALL,GRID_CURTAILMENT_PLATEAU,all,grid_curtailment_plateau,grid_constraint,2021-05-14T12:30:00,2021-05-14T12:45:00,2021-05-14T12:45:00,2021-05-14T16:45:00,actual export clips flat at local limit while possible power remains higher,"Plot possible power, actual export and local limit together."
SCN_00046_SCADA_STALE_SIGNAL,2021,SOL_PAVAGADA,PAV_S2_B01|PAV_S2_B02,SCADA_STALE_SIGNAL,all,scada_stale_signal,data_quality,2021-08-18T14:55:00,2021-08-18T15:00:00,2021-08-18T15:00:00,2021-08-18T16:25:00,reported actual tag holds constant while physical signal moves,Actual line freezes; quality badge turns STALE; confidence drops.
SCN_00047_WIND_SIGMOID_RAMP_DOWN,2021,WND_GADAG,WND_GADAG_F2,WIND_SIGMOID_RAMP_DOWN,wind,wind_ramp_down,weather,2021-02-07T14:40:00,2021-02-07T15:05:00,2021-02-07T14:55:00,2021-02-07T16:40:00,wind-speed sigmoid decline through nonlinear turbine power curve,"Wind-speed line changes first, power follows through power curve."
SCN_00048_WIND_SIGMOID_RAMP_UP_4PM,2021,WND_GADAG,WND_GADAG_F1,WIND_SIGMOID_RAMP_UP_4PM,wind,wind_ramp_up,weather,2021-06-16T15:00:00,2021-06-16T15:35:00,2021-06-16T15:20:00,2021-06-16T17:10:00,wind-speed sigmoid increase through power curve,Forecast anticipates rise; actual follows. Band widens around the event.
SCN_00049_EQUIPMENT_DERATING,2021,WND_GADAG,WND_GADAG_F3,EQUIPMENT_DERATING,all,equipment_derating,equipment,2021-09-22T11:25:00,2021-09-22T11:30:00,2021-09-22T11:30:00,2021-09-22T15:20:00,availability drop with slower recovery,"Resource normal, availability lower, output falls."
SCN_00050_SOLAR_SIGMOID_RAMP_UP_4PM,2022,SOL_PAVAGADA,PAV_S3_B01|PAV_S3_B02|PAV_S3_B03|PAV_S3_B04|PAV_S3_B05,SOLAR_SIGMOID_RAMP_UP_4PM,solar,cloud_ramp_up_after_cloud_clearance,weather,2022-01-05T15:00:00,2022-01-05T15:35:00,2022-01-05T15:20:00,2022-01-05T17:10:00,S-curve / sigmoid recovery,Forecast P50 bends upward before actual. Actual follows with phase lag. P10-P90 band widens during event.
SCN_00051_SOLAR_SIGMOID_RAMP_DOWN,2022,SOL_PAVAGADA,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04|PAV_S6_B05,SOLAR_SIGMOID_RAMP_DOWN,solar,cloud_ramp_down,weather,2022-03-09T14:40:00,2022-03-09T15:05:00,2022-03-09T14:55:00,2022-03-09T16:40:00,S-curve / sigmoid drop,Forecast drops before actual; cloud obstruction rises first.
SCN_00052_GRID_CURTAILMENT_PLATEAU,2022,SOL_PAVAGADA,ALL,GRID_CURTAILMENT_PLATEAU,all,grid_curtailment_plateau,grid_constraint,2022-05-14T12:30:00,2022-05-14T12:45:00,2022-05-14T12:45:00,2022-05-14T16:45:00,actual export clips flat at local limit while possible power remains higher,"Plot possible power, actual export and local limit together."
SCN_00053_SCADA_STALE_SIGNAL,2022,SOL_PAVAGADA,PAV_S2_B01|PAV_S2_B02,SCADA_STALE_SIGNAL,all,scada_stale_signal,data_quality,2022-08-18T14:55:00,2022-08-18T15:00:00,2022-08-18T15:00:00,2022-08-18T16:25:00,reported actual tag holds constant while physical signal moves,Actual line freezes; quality badge turns STALE; confidence drops.
SCN_00054_WIND_SIGMOID_RAMP_DOWN,2022,WND_GADAG,WND_GADAG_F2,WIND_SIGMOID_RAMP_DOWN,wind,wind_ramp_down,weather,2022-02-07T14:40:00,2022-02-07T15:05:00,2022-02-07T14:55:00,2022-02-07T16:40:00,wind-speed sigmoid decline through nonlinear turbine power curve,"Wind-speed line changes first, power follows through power curve."
SCN_00055_WIND_SIGMOID_RAMP_UP_4PM,2022,WND_GADAG,WND_GADAG_F1,WIND_SIGMOID_RAMP_UP_4PM,wind,wind_ramp_up,weather,2022-06-16T15:00:00,2022-06-16T15:35:00,2022-06-16T15:20:00,2022-06-16T17:10:00,wind-speed sigmoid increase through power curve,Forecast anticipates rise; actual follows. Band widens around the event.
SCN_00056_EQUIPMENT_DERATING,2022,WND_GADAG,WND_GADAG_F3,EQUIPMENT_DERATING,all,equipment_derating,equipment,2022-09-22T11:25:00,2022-09-22T11:30:00,2022-09-22T11:30:00,2022-09-22T15:20:00,availability drop with slower recovery,"Resource normal, availability lower, output falls."
SCN_00057_SOLAR_SIGMOID_RAMP_UP_4PM,2023,SOL_PAVAGADA,PAV_S3_B01|PAV_S3_B02|PAV_S3_B03|PAV_S3_B04|PAV_S3_B05,SOLAR_SIGMOID_RAMP_UP_4PM,solar,cloud_ramp_up_after_cloud_clearance,weather,2023-01-05T15:00:00,2023-01-05T15:35:00,2023-01-05T15:20:00,2023-01-05T17:10:00,S-curve / sigmoid recovery,Forecast P50 bends upward before actual. Actual follows with phase lag. P10-P90 band widens during event.
SCN_00058_SOLAR_SIGMOID_RAMP_DOWN,2023,SOL_PAVAGADA,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04|PAV_S6_B05,SOLAR_SIGMOID_RAMP_DOWN,solar,cloud_ramp_down,weather,2023-03-09T14:40:00,2023-03-09T15:05:00,2023-03-09T14:55:00,2023-03-09T16:40:00,S-curve / sigmoid drop,Forecast drops before actual; cloud obstruction rises first.
SCN_00059_GRID_CURTAILMENT_PLATEAU,2023,SOL_PAVAGADA,ALL,GRID_CURTAILMENT_PLATEAU,all,grid_curtailment_plateau,grid_constraint,2023-05-14T12:30:00,2023-05-14T12:45:00,2023-05-14T12:45:00,2023-05-14T16:45:00,actual export clips flat at local limit while possible power remains higher,"Plot possible power, actual export and local limit together."
SCN_00060_SCADA_STALE_SIGNAL,2023,SOL_PAVAGADA,PAV_S2_B01|PAV_S2_B02,SCADA_STALE_SIGNAL,all,scada_stale_signal,data_quality,2023-08-18T14:55:00,2023-08-18T15:00:00,2023-08-18T15:00:00,2023-08-18T16:25:00,reported actual tag holds constant while physical signal moves,Actual line freezes; quality badge turns STALE; confidence drops.
SCN_00061_WIND_SIGMOID_RAMP_DOWN,2023,WND_GADAG,WND_GADAG_F2,WIND_SIGMOID_RAMP_DOWN,wind,wind_ramp_down,weather,2023-02-07T14:40:00,2023-02-07T15:05:00,2023-02-07T14:55:00,2023-02-07T16:40:00,wind-speed sigmoid decline through nonlinear turbine power curve,"Wind-speed line changes first, power follows through power curve."
SCN_00062_WIND_SIGMOID_RAMP_UP_4PM,2023,WND_GADAG,WND_GADAG_F1,WIND_SIGMOID_RAMP_UP_4PM,wind,wind_ramp_up,weather,2023-06-16T15:00:00,2023-06-16T15:35:00,2023-06-16T15:20:00,2023-06-16T17:10:00,wind-speed sigmoid increase through power curve,Forecast anticipates rise; actual follows. Band widens around the event.
SCN_00063_EQUIPMENT_DERATING,2023,WND_GADAG,WND_GADAG_F3,EQUIPMENT_DERATING,all,equipment_derating,equipment,2023-09-22T11:25:00,2023-09-22T11:30:00,2023-09-22T11:30:00,2023-09-22T15:20:00,availability drop with slower recovery,"Resource normal, availability lower, output falls."
SCN_00064_SOLAR_SIGMOID_RAMP_UP_4PM,2024,SOL_PAVAGADA,PAV_S3_B01|PAV_S3_B02|PAV_S3_B03|PAV_S3_B04|PAV_S3_B05,SOLAR_SIGMOID_RAMP_UP_4PM,solar,cloud_ramp_up_after_cloud_clearance,weather,2024-01-05T15:00:00,2024-01-05T15:35:00,2024-01-05T15:20:00,2024-01-05T17:10:00,S-curve / sigmoid recovery,Forecast P50 bends upward before actual. Actual follows with phase lag. P10-P90 band widens during event.
SCN_00065_SOLAR_SIGMOID_RAMP_DOWN,2024,SOL_PAVAGADA,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04|PAV_S6_B05,SOLAR_SIGMOID_RAMP_DOWN,solar,cloud_ramp_down,weather,2024-03-09T14:40:00,2024-03-09T15:05:00,2024-03-09T14:55:00,2024-03-09T16:40:00,S-curve / sigmoid drop,Forecast drops before actual; cloud obstruction rises first.
SCN_00066_GRID_CURTAILMENT_PLATEAU,2024,SOL_PAVAGADA,ALL,GRID_CURTAILMENT_PLATEAU,all,grid_curtailment_plateau,grid_constraint,2024-05-14T12:30:00,2024-05-14T12:45:00,2024-05-14T12:45:00,2024-05-14T16:45:00,actual export clips flat at local limit while possible power remains higher,"Plot possible power, actual export and local limit together."
SCN_00067_SCADA_STALE_SIGNAL,2024,SOL_PAVAGADA,PAV_S2_B01|PAV_S2_B02,SCADA_STALE_SIGNAL,all,scada_stale_signal,data_quality,2024-08-18T14:55:00,2024-08-18T15:00:00,2024-08-18T15:00:00,2024-08-18T16:25:00,reported actual tag holds constant while physical signal moves,Actual line freezes; quality badge turns STALE; confidence drops.
SCN_00068_WIND_SIGMOID_RAMP_DOWN,2024,WND_GADAG,WND_GADAG_F2,WIND_SIGMOID_RAMP_DOWN,wind,wind_ramp_down,weather,2024-02-07T14:40:00,2024-02-07T15:05:00,2024-02-07T14:55:00,2024-02-07T16:40:00,wind-speed sigmoid decline through nonlinear turbine power curve,"Wind-speed line changes first, power follows through power curve."
SCN_00069_WIND_SIGMOID_RAMP_UP_4PM,2024,WND_GADAG,WND_GADAG_F1,WIND_SIGMOID_RAMP_UP_4PM,wind,wind_ramp_up,weather,2024-06-16T15:00:00,2024-06-16T15:35:00,2024-06-16T15:20:00,2024-06-16T17:10:00,wind-speed sigmoid increase through power curve,Forecast anticipates rise; actual follows. Band widens around the event.
SCN_00070_EQUIPMENT_DERATING,2024,WND_GADAG,WND_GADAG_F3,EQUIPMENT_DERATING,all,equipment_derating,equipment,2024-09-22T11:25:00,2024-09-22T11:30:00,2024-09-22T11:30:00,2024-09-22T15:20:00,availability drop with slower recovery,"Resource normal, availability lower, output falls."
SCN_00071_SOLAR_SIGMOID_RAMP_UP_4PM,2025,SOL_PAVAGADA,PAV_S3_B01|PAV_S3_B02|PAV_S3_B03|PAV_S3_B04|PAV_S3_B05,SOLAR_SIGMOID_RAMP_UP_4PM,solar,cloud_ramp_up_after_cloud_clearance,weather,2025-01-05T15:00:00,2025-01-05T15:35:00,2025-01-05T15:20:00,2025-01-05T17:10:00,S-curve / sigmoid recovery,Forecast P50 bends upward before actual. Actual follows with phase lag. P10-P90 band widens during event.
